,Number,Title,Description,Link,Season,Episode
0,"Season 1, Episode 1",Costa Rica Vacation Home,"Mark and Carolle Cotter love living in Northridge, California and find it to be the perfect place to raise their six-year old son.  However, life is all work and not a lot of play, so after ...",www.hgtv.com/shows/house-hunters-international/episodes/costa-rica-vacation-home,1,1
1,"Season 1, Episode 2",Dominican Vacation Home,"Throughout their fifteen years of marriage, Steve and Susan Miller have traveled the world, with trips to sites such as Sicily, Panama, Tahiti and Australia.  At present, the Millers reside ...",www.hgtv.com/shows/house-hunters-international/episodes/dominican-vacation-home,1,2
2,"Season 1, Episode 3",Vacation Home in Spain,"Lesley and Clive have been together for more than thirty years.  Both lovers of music, dogs and travel, they've decided it's time to look for a second home in an exotic location.  Tired of ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-spain,1,3
3,"Season 1, Episode 4",Vacation Home in Italy,"Peter and Beverly Moule live in Goff's Oak, just outside of London, in a guest house while their Georgian style three-story main house is under construction.  Looking to get away from the ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-italy,1,4
4,"Season 1, Episode 5",Vacation Home in Paris,"New Yorkers Jeff Ballinger and Mary Schiller recently began the first steps toward making their dream together a reality.  After honeymooning in Paris, they knew they wanted their own ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-paris,1,5
5,"Season 1, Episode 1",Planting New Costa Rican Roots,"After attending college in the United States, 27-year-old Tyson Ennis returned home to Costa Rica and moved back in with his parents, who own a place in the city of Escazu (southwest of ...",www.hgtv.com/shows/house-hunters-international/episodes/planting-new-costa-rican-roots,1,1
6,"Season 1, Episode 2",Belize Bound,"Real estate agent Michelle Owens adores her life in Charleston, S.C., but after vacationing in Belize six years ago, she fell in love with the exquisite natural beauty of the Central ...",www.hgtv.com/shows/house-hunters-international/episodes/belize-bound,1,2
7,"Season 1, Episode 3",Honduras Home Hunt,"Gary Howorka and his girlfriend, Rebecca Anderson, love the laidback lakefront home they live in on Minnesota's Lake Minnetonka. But with cold temperatures half the year and crowded ...",www.hgtv.com/shows/house-hunters-international/episodes/honduras-home-hunt,1,3
8,"Season 1, Episode 4",Sao Paulo Search,"After living with his sister for five years, Sao Paulo resident Vinnie Porto de Oliveira is ready to buy a place of his own. Sao Paulo is the largest city in Brazil, with a population of 17 ...",www.hgtv.com/shows/house-hunters-international/episodes/sao-paulo-search,1,4
9,"Season 1, Episode 5",Picking a Place in Prague,"Martin Michajluk and his fiancee, Eva Dakovova, live about 45 minutes from each other in the outlying districts of Prague, the capital of the Czech Republic. When they want to spend quality ...",www.hgtv.com/shows/house-hunters-international/episodes/picking-a-place-in-prague,1,5
10,"Season 1, Episode 6","A Unique Renovation in Johannesburg, South Africa","Ryan and Leyla followed their film careers from LA to Capetown.  Now, with their four-year-old son, they're putting down roots in Johannesburg.  While Leyla's looking for a move-in-ready space ...",www.hgtv.com/shows/house-hunters-international/episodes/a-unique-renovation-in-johannesburg-south-africa,1,6
11,"Season 1, Episode 7",Dream Home in the Bahamas,"Donna and Patrick Rollins' four-bedroom Nassau, Bahamas, home just is not big enough for the couple and their three growing kids. Though they have tried to renovate the house to make it a ...",www.hgtv.com/shows/house-hunters-international/episodes/dream-home-in-the-bahamas,1,7
12,"Season 1, Episode 8",Beachside Dream Home,"Pat and Tom DeGasperis have spent 16 happy years of marriage in historic Bethlehem, Penn., where they built a successful jewelry business together. The only thing missing in their lives is ...",www.hgtv.com/shows/house-hunters-international/episodes/beachside-dream-home,1,8
13,"Season 1, Episode 9",Dominican Dream,"Seeley Oliver is a hard-working businesswoman who needs an escape from the hustle and bustle of New York City. She wants a slice of paradise, so she is moving to the Caribbean. See if she ...",www.hgtv.com/shows/house-hunters-international/episodes/dominican-dream,1,9
14,"Season 1, Episode 10",Condo in Buenos Aires,"Attorney Fred Royce bought his home called Henderson Castle in Kalamazoo, Mich., more than 20 years ago. He has recently turned into a bed-and-breakfast. As much as he loves his home, he has ...",www.hgtv.com/shows/house-hunters-international/episodes/buenos-aires-condo,1,10
15,"Season 1, Episode 11",Settling in Scotland,"Newlyweds Sally and Scot McLellan love the location of their one-bedroom flat in Glasgow, Scotland, but after two years of renting, they are ready to buy a place of their own. Though they ...",www.hgtv.com/shows/house-hunters-international/episodes/settling-in-scotland,1,11
16,"Season 1, Episode 12",Edinburgh Expansion,"Claire and Russell Higgins live in two-bedroom house in the charming city of Edinburgh, Scotland, with their 5-year old daughter, Beth. With another baby on the way, the couple is ready to ...",www.hgtv.com/shows/house-hunters-international/episodes/edinburgh-expansion,1,12
17,"Season 1, Episode 13",Roatan Relocation,"Water lovers Debbie and Steven Cervantes were nearly finished remodeling their five-bedroom house in Huntington Beach, Calif., when they took a brief vacation to a Caribbean island off the ...",www.hgtv.com/shows/house-hunters-international/episodes/roatan-relocation,1,13
18,"Season 9, Episode 1",To Stay in Spain,"Ron and Emma Bushaway are natives of London, England and are hoping to make their permanent home in the sunny Andalusian region of Spain.  After traveling around the country, they fell in ...",www.hgtv.com/shows/house-hunters-international/episodes/londoners-search-for-a-new-home-in-andalusia-spain,9,1
19,"Season 9, Episode 2",Caribbean Charm,"Doug and Kendy Steeves have been in a whirlwind ever since Doug was offered a job in the Cayman Islands.  They've sold their home in Ontario, Canada and begun a house hunting journey on Grand ...",www.hgtv.com/shows/house-hunters-international/episodes/a-canadian-couple-moves-to-grand-cayman-island,9,2
20,"Season 9, Episode 3",Voguish Vancouver,"Brian Dahl is ready to give up the quiet neighborhood he's lived in for 17 years in favor of downtown Vancouver, British Columbia.  He'd love to be able to walk to work from the trendy ...",www.hgtv.com/shows/house-hunters-international/episodes/a-vancouver-man-looks-for-a-new-home-downtown,9,3
21,"Season 9, Episode 4",Costa Rican Casa,"Jaco Beach is a Costa Rican sanctuary for beach-goers, sun worshippers and surfers.  This appeals to long time New Mexico residents Page Sullivan and Luther Holley who are looking for a ...",www.hgtv.com/shows/house-hunters-international/episodes/a-new-mexico-couple-seeks-a-beachfront-vacation-home-in-costa-rica,9,4
22,"Season 9, Episode 5",Condo in Toronto's West End,"Briana Lacey currently lives with her parents and brother in Toronto, trying to make the best use of what little space she has in the cramped home.  While somewhat reluctant to move, she has ...",www.hgtv.com/shows/house-hunters-international/episodes/a-young-woman-searches-for-a-condo-in-torontos-west-end,9,5
23,"Season 9, Episode 6",Hollywood in Nicaragua,"David and Luna Brownlee were married in Amalfia, Italy, where Luna is from.  After their honeymoon, the two returned to David's home in Nicaragua, and they've decided that it's time for them ...",www.hgtv.com/shows/house-hunters-international/episodes/a-couple-looks-for-a-home-in-nicaragua-reminiscent-of-the-hollywood-hills,9,6
24,"Season 9, Episode 7",Honeymoon-Inspired Hunt,"Ted Prosser, a real estate investor and developer, and his wife Sharon, a former restaurant owner, currently reside just outside Asheville, North Carolina.  Recently married, the couple fell ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-villa-in-the-virgin-islands,9,7
25,"Season 9, Episode 8",Apartment in Argentina,"Madeleine Gilinsky is a retired dancer who's stepping out and buying a home in the tango capital of Buenos Aires.  She currently lives in Santa Monica, California, and she's taking on this ...",www.hgtv.com/shows/house-hunters-international/episodes/apartment-in-argentina,9,8
26,"Season 9, Episode 9",Cozy in the Cayman Islands,"CPA Todd Hazlewood moved from Fresno, California to Grand Cayman Island for a job more than three years ago.  He currently lives on the edge of George Town, the capital of the Cayman Islands ...",www.hgtv.com/shows/house-hunters-international/episodes/cozy-in-the-cayman-islands4,9,9
27,"Season 9, Episode 10",Downsizing in a French Village,"Beverly and Dave Burridge have lived in St. Meme Les Carrieres, France for the past six years.  While most people outgrow their homes, the Burridges have found that they have too much space ...",www.hgtv.com/shows/house-hunters-international/episodes/cozy-in-the-cayman-islands,9,10
28,"Season 32, Episode 1",Modern Living in Central Rome,Darius and Erica have something special in common--she's an Italian writer and he's an ancient Roman archeologist. So it should come as no surprise that their Roman love affair has become ...,www.hgtv.com/shows/house-hunters-international/episodes/modern-living-in-central-rome,32,1
29,"Season 32, Episode 2",Foraging in Barran France,"Seven years after meeting, Londoners Rob Brown and Hannah Pyle had a full house in London. Hannah's father runs a truffle farm in Southern France and requires Rob and Hannah's help. They're ...",www.hgtv.com/shows/house-hunters-international/episodes/foraging-in-barran-france,32,2
30,"Season 32, Episode 3",Following Bucket List Dreams to Amsterdam,"Since meeting in grad school, Eric and Harini  have dreamt of living abroad together.  After a serious surgery, Harini realized it was time to seize life.  Working as marketing consultants ...",www.hgtv.com/shows/house-hunters-international/episodes/after-a-serious-surgery-eric-and-harini-realize-life-is-short-and-decide-to-follow-their-bucket-list-dream-of-moving-to-amsterdam-the-netherlands,32,3
31,"Season 32, Episode 4","Working for a Vacation Home in Costa Blanca, Spain","Vern and Nicole are a New Jersey couple who have spent years methodically working multiple jobs and saving in order to buy a vacation home on the idyllic coast of Costa Blanca, Spain.  With ...",www.hgtv.com/shows/house-hunters-international/episodes/working-for-a-vacation-home-in-costa-blanca-spain,32,4
32,"Season 32, Episode 5",Moving up to Hong Kong,"Kelly and Guo had a penchant for crossing paths without connecting them, but eventually the stars aligned for this Queens, NY couple.  After tying the knot and renovating their dream ...",www.hgtv.com/shows/house-hunters-international/episodes/moving-up-to-hong-kong,32,5
33,"Season 32, Episode 6","A Simplified Life in Chiang Mai, Thailand","Jay and Aye are ready for a change from the typical life in Houston. They sold their house, their cars and 90% of their possessions to move to Chiang Mai, Thailand and plan to  volunteer as ...",www.hgtv.com/shows/house-hunters-international/episodes/a-simplified-life-in-chiang-mai-thailand,32,6
34,"Season 32, Episode 7",Canadians in the Caribbean,"After being offered a  job in Antigua, helicopter engineers Tanner and his wife, Shari began traveling back and forth from Ontario, Canada to the Caribbean island.   Now that Tanner has decided ...",www.hgtv.com/shows/house-hunters-international/episodes/canadians-in-the-caribbean,32,7
35,"Season 32, Episode 8","Hitting the books in Bologna, Italy","Paige & Michael are a young couple with a 7 month old baby daughter named Ada. They've always lived in Provo, Utah but are now flipping things around with a move to the cosmopolitan city ...",www.hgtv.com/shows/house-hunters-international/episodes/hitting-the-books-in-bologna-italy,32,8
36,"Season 32, Episode 9","Hip, Renovated Apartments in Historic Cologne, Germany","Globetrotting Daniel has always been a little restless, but after accepting his first job contract in Germany he's ready to grow up. And who knows, he might even meet someone special and ...",www.hgtv.com/shows/house-hunters-international/episodes/hitting-the-books-in-bologna-italy2,32,9
37,"Season 32, Episode 10",A New Adventure in the Azores,"Living in North Dakota, Rob, a US Air Force civil engineer, and his wife Vanessa were hoping for some more adventure. Then, Rob got the call that he was going to be transferred overseas ...",www.hgtv.com/shows/house-hunters-international/episodes/a-new-adventure-in-the-azores,32,10
38,"Season 32, Episode 11",Rediscovering Roots in Vienna,"In 1939, Eva Wein's grandfather, then ten years old, narrowly escaped Nazi-occupied Vienna.  Now, seven decades later, Eva and her husband Chris are headed back to the place she always felt ...",www.hgtv.com/shows/house-hunters-international/episodes/the-weins-seek-an-apartment-in-vienna-austria-so-eva-can-reconnect-with-her-familys-history,32,11
39,"Season 32, Episode 12","From California to Cork, Ireland","Carrie and Hernan have spent the last 20 years happily living in Sacramento, California, but when a major job opportunity presented itself for Hernan to relocate to Cork, Ireland, they both ...",www.hgtv.com/shows/house-hunters-international/episodes/from-california-to-cork-ireland,32,12
40,"Season 32, Episode 13","A family finds a peaceful life in Cuenca, Ecuador.","Bryan and Dena Haines had a successful advertising business in Toronto, Canada. But the grueling pace and stress of their working lives forced them to consider a change. Once their daughter ...",www.hgtv.com/shows/house-hunters-international/episodes/a-family-finds-a-peaceful-life-in-cuenca-ecuador,32,13
41,"Season 50, Episode 1","Coming of Age in Paris, France","After years of having an affair with France, twenty-two year old Melania Malavazos leaves small town New York behind for good to pursue grad school and a new life in Paris. Unlike any ...",www.hgtv.com/shows/house-hunters-international/episodes/coming-of-age-in-paris-france,50,1
42,"Season 50, Episode 2","A Return to Rome, Italy","Texan Liz Knight started her love affair with Italy's capital city when she was 18. After living there for four years, Liz moved back to Texas to train as a lawyer and save up for her return ...",www.hgtv.com/shows/house-hunters-international/episodes/a-return-to-rome-italy,50,2
43,"Season 50, Episode 3","Coming Ashore in San Juan, Puerto Rico","Beth Morehart knew that when her newlywed husband Tyler enlisted in the Coast Guard, it would have an impact on their family. With Tyler gone for weeks at a time at sea, Beth has grown weary ...",www.hgtv.com/shows/house-hunters-international/episodes/coming-ashore-in-san-juan-puerto-rico,50,3
44,"Season 50, Episode 4",The Red Hot Chile Painter,"With tough economic times in California hindering her artistic creativity, Artist Jen Tenance is moving to Santiago, Chile to find fresh inspiration and begin a new start.  But facing a tight ...",www.hgtv.com/shows/house-hunters-international/episodes/the-red-hot-chile-painter,50,4
45,"Season 50, Episode 5","Interning in Leuven, Belgium","When Chris Maloney's PhD program offered an internship in Leuven, Belgium he leapt at the chance to study abroad.  Now, new wife, Kelly is giving up her job and leaving her friends and family ...",www.hgtv.com/shows/house-hunters-international/episodes/interning-in-leuven-belgium,50,5
46,"Season 50, Episode 6","Bound for Buenos Aires, Argentina","After graduating from college, Vivi felt restless. Unsure about her next step, she traveled to Buenos Aires and there found inspiration in its frenetic streets so different from what she's ...",www.hgtv.com/shows/house-hunters-international/episodes/bound-for-buenos-aires-argentina,50,6
47,"Season 50, Episode 7","A Homecoming in Granada, Nicaragua","After years of layovers in Nicaragua, Wisconsin pilot Scott always dreamt of living there and after meeting Lucia, he knew Granada was home. They started their new life in Wisconsin, but ...",www.hgtv.com/shows/house-hunters-international/episodes/a-homecoming-in-granada-nicaragua,50,7
48,"Season 50, Episode 8","Parents and Kids Cohabitate in Cabarete, Dominican Republic",Rod and Michelle fell in love with the people of the Dominican Republic when they hosted minor league baseball players from the island in their Montana home. Their fondness for the country ...,www.hgtv.com/shows/house-hunters-international/episodes/parents-and-kids-cohabitate-in-cabarete-dominican-republic,50,8
49,"Season 50, Episode 9",A Stationing of a Lifetime in Naples,"Life in the military can often mean lots of moving around. After starting their family in Gulf Port, Mississippi, James and Brooke knew they wanted to expand young Josiah's horizons. When ...",www.hgtv.com/shows/house-hunters-international/episodes/a-stationing-of-a-lifetime-in-naples,50,9
50,"Season 50, Episode 10","Bachelor Pad in Buenos Aires, Argentina","With the ability to work from anywhere as a web performance engineer Willie Jackson is switching things up and moving to Buenos Aires. While he loves his friends, his apartment, and the food ...",www.hgtv.com/shows/house-hunters-international/episodes/bachelor-pad-in-buenos-aires-argentina,50,10
51,"Season 50, Episode 11","Leaving Pennsylvania for Cartaya, Spain","Young American newlyweds Stephanie and Ryan Palmer moved in with her parents after their wedding, in anticipation of their big move to Spain. With an opportunity for Ryan to teach English ...",www.hgtv.com/shows/house-hunters-international/episodes/leaving-pennsylvania-for-cartaya-spain,50,11
52,"Season 50, Episode 12",Baja-liday Road,"When Justin Mecklenborg accepts a new job in Loreto Baja Mexico, his wife Tamra and their two kids and Labrador Sam load up the family wagon and head south from San Diego to the sunny shores ...",www.hgtv.com/shows/house-hunters-international/episodes/baja-liday-road,50,12
53,"Season 50, Episode 13",Peaceful in Puerto Penasco,"With her husband Greg working long hours as a city planner, Jennifer demanded that her family take one weekend away to reconnect.  They discovered the Mexican resort town of Puerto Peñasco ...",www.hgtv.com/shows/house-hunters-international/episodes/peaceful-in-puerto-peasco,50,13
54,"Season 63, Episode 1",A Couple Starts Fresh in Denmark,"When scientist Alistair met financier Hannah, the chemistry was instant.  But after Alistair received a job opportunity in small town Denmark, they're packing up his lab coats and beakers and ...",www.hgtv.com/shows/house-hunters-international/episodes/a-couple-starts-fresh-in-denmark,63,1
55,"Season 63, Episode 2","Going the Distance to Bridge the Gap in Montevideo, Uruguay","Michelle and Tom nurtured a relationship 8,000 miles apart these last six years since they can't legally work in each other's respective countries of the US and UK. So once Tom got a job ...",www.hgtv.com/shows/house-hunters-international/episodes/going-the-distance-to-bridge-the-gap-in-montevideo-uruguay,63,2
56,"Season 63, Episode 3",A Family Retraces Dad's Roots in Aalen,"Jane and Johannes liken their love story to a Korean soap opera born in different lands, but sharing common heritages, they met overseas and fell head over heels in love, only to be ...",www.hgtv.com/shows/house-hunters-international/episodes/a-family-retraces-dads-roots-as-they-balance-korean-american-and-german-heritages-in-aalen,63,3
57,"Season 63, Episode 4",Leaving London and Setting Sail to Roseau,"Since Sonia could remember, Ron, her husband of 15 years, pinned for his childhood days on the Caribbean island of Dominica. Engulfed in her career, Sonia paid Ron's suggestion about island ...",www.hgtv.com/shows/house-hunters-international/episodes/after-a-lifetime-of-longing-a-husband-convinces-his-wife-to-leave-london-and-set-sail-to-roseau,63,4
58,"Season 63, Episode 5",Head Over High Heels for a Home in Andorra,The expansion of her husband's business into Europe means a change of scenery for Latin recording artist Alondra. She's leaving the excitement and glitz of the Miami music scene behind to ...,www.hgtv.com/shows/house-hunters-international/episodes/head-over-high-heels-for-a-home-in-andorra,63,5
59,"Season 63, Episode 6","Snowbird Sanctuary in Huatulco, Mexico","For the last five years, George and Kathy have made Huatulco, Mexico their getaway from the cold Canadian winters.  They love the area so much that they've decided that renting a home there ...",www.hgtv.com/shows/house-hunters-international/episodes/snowbird-sanctuary-in-huatulco-mexico,63,6
60,"Season 63, Episode 7","Italian Dream for Party of Eleven, In Veneto",Josh and Sarah Brown fell in love with Italy during their European honeymoon fifteen years ago. Now they've decided to leave behind their fast paced lifestyle in Indiana and return to the ...,www.hgtv.com/shows/house-hunters-international/episodes/italian-dream-for-party-of-eleven-in-veneto,63,7
61,"Season 63, Episode 8",Leaving it all for London,"College sweethearts Lauren and Adam Westin have always dreamed of a return trip to explore Europe, but marriage managed to seemingly settle them down for good in Atlanta. When the ...",www.hgtv.com/shows/house-hunters-international/episodes/leaving-it-all-for-london,63,8
62,"Season 63, Episode 9",Lady in Reading,Mark and his wife Danielle had been living together in Seattle until inspiration struck to change their lives and move somewhere else.  With an opportunity to change positions within the same ...,www.hgtv.com/shows/house-hunters-international/episodes/lady-in-reading,63,9
63,"Season 63, Episode 10","A Piece of Paradise in Puerto Vallarta, Mexico","Avid travelers Charles and Karen have visited nearly 100 countries on all seven continents, but have returned to their very first destination, Puerto Vallarta, Mexico, to buy their dream ...",www.hgtv.com/shows/house-hunters-international/episodes/a-piece-of-paradise-in-puerto-vallarta-mexico,63,10
64,"Season 63, Episode 11","Financing the Endless Summer in Nosara, Costa Rica","Years of vacationing and surfing Nosara's breaks made Jeff and Erin Shapiro feel at home, so now they're going to buy one. But to finance the endless summer, they'll need to find a vacation ...",www.hgtv.com/shows/house-hunters-international/episodes/financing-the-endless-summer-in-nosara-costa-rica,63,11
65,"Season 63, Episode 12","Family Time in Roatan, Honduras","Being able to stay focused is one of the reasons IT consultant Elizabeth Grace, was good at her job.  She was able build a comfortable life for her family in Petaluma, California and free up ...",www.hgtv.com/shows/house-hunters-international/episodes/family-time-in-roatan-honduras,63,12
66,"Season 63, Episode 13",Jumpstarting a Renaissance in Florence,"Carmen and Kyle love life in San Diego, but they've been itching for adventure, and it's a call they can no longer ignore. They've been in love with Florence since their honeymoon, and are ...",www.hgtv.com/shows/house-hunters-international/episodes/a-couple-seeks-to-jumpstart-a-renaissance-in-italys-celebrated-city-of-new-beginnings-florence,63,13
67,"Season 96, Episode 1",Will Midwesterners Settle Down in Guatemala City or Antigua?,Jonathan has just won a Fulbright award to teach in Guatemala City and is relocating his family from the Midwest to Central America so they can experience a different culture. His wife ...,www.hgtv.com/shows/house-hunters-international/episodes/will-midwesterners-settle-down-in-guatemala-city-or-antigua,96,1
